movie_index,user_index,probability,movie_rate,factor,movie_title
2688,451,0.4346,5.0,2.1729,Dog Day Afternoon (1975)
3123,451,0.4346,5.0,2.1729,Best in Show (2000)
2658,451,0.4346,5.0,2.1729,Wonder Boys (2000)
2340,451,0.4346,5.0,2.1729,Ferris Bueller's Day Off (1986)
1352,451,0.4346,5.0,2.1729,Good Will Hunting (1997)
266,451,0.4346,5.0,2.1729,Pulp Fiction (1994)
423,451,0.4346,5.0,2.1729,In the Name of the Father (1993)
1514,451,0.4346,5.0,2.1729,Midnight Cowboy (1969)
454,451,0.4346,5.0,2.1729,Philadelphia (1993)
733,451,0.4346,5.0,2.1729,Casablanca (1942)
734,451,0.4346,5.0,2.1729,Maltese Falcon, The (1941)
2798,451,0.4346,5.0,2.1729,Network (1976)
1102,451,0.4346,5.0,2.1729,Sling Blade (1996)
3803,451,0.4346,5.0,2.1729,Man Who Wasn't There, The (2001)
427,451,0.4346,5.0,2.1729,Jurassic Park (1993)
4569,451,0.4346,5.0,2.1729,Winged Migration (Peuple migrateur, Le) (2001)
4995,451,0.4346,5.0,2.1729,Rivers and Tides (2001)
1839,451,0.4346,5.0,2.1729,Life Is Beautiful (La Vita è bella) (1997)
1836,451,0.4346,5.0,2.1729,Pleasantville (1998)
1834,451,0.4346,5.0,2.1729,Happiness (1998)
2817,451,0.4346,5.0,2.1729,Parenthood (1989)
786,451,0.4346,5.0,2.1729,African Queen, The (1951)
1057,451,0.4346,5.0,2.1729,Butch Cassidy and the Sundance Kid (1969)
2829,451,0.4346,5.0,2.1729,Diner (1982)
923,451,0.4346,5.0,2.1729,Ruling Class, The (1972)
1906,451,0.4346,5.0,2.1729,Shakespeare in Love (1998)
2212,451,0.4346,5.0,2.1729,Sixth Sense, The (1999)
461,451,0.4346,5.0,2.1729,Remains of the Day, The (1993)
1811,451,0.4346,5.0,2.1729,Player, The (1992)
274,451,0.4346,5.0,2.1729,Three Colors: Red (Trois couleurs: Rouge) (1994)
2780,451,0.4346,5.0,2.1729,High Fidelity (2000)
276,451,0.4346,5.0,2.1729,Three Colors: White (Trzy kolory: Bialy) (1994)
951,451,0.4346,5.0,2.1729,One Flew Over the Cuckoo's Nest (1975)
930,451,0.4346,5.0,2.1729,Bob Roberts (1992)
2385,451,0.4346,5.0,2.1729,Crimes and Misdemeanors (1989)
1794,451,0.4346,5.0,2.1729,Few Good Men, A (1992)
4809,451,0.4346,5.0,2.1729,All the President's Men (1976)
2248,451,0.4346,5.0,2.1729,Christmas Story, A (1983)
284,451,0.4346,5.0,2.1729,Shawshank Redemption, The (1994)
2611,451,0.4346,5.0,2.1729,League of Their Own, A (1992)
2154,451,0.4346,5.0,2.1729,Run Lola Run (Lola rennt) (1998)
695,451,0.4346,5.0,2.1729,Godfather, The (1972)
1132,451,0.4346,5.0,2.1729,Raising Arizona (1987)
1131,451,0.4346,5.0,2.1729,Jerry Maguire (1996)
2602,451,0.4346,5.0,2.1729,Malcolm X (1992)
1509,451,0.4346,5.0,2.1729,West Side Story (1961)
2772,451,0.4346,5.0,2.1729,Close Encounters of the Third Kind (1977)
2214,241,0.408,5.0,2.0401,Thomas Crown Affair, The (1968)
1315,241,0.408,5.0,2.0401,Gattaca (1997)
2674,241,0.408,5.0,2.0401,Birdy (1984)
2259,241,0.408,5.0,2.0401,Three Days of the Condor (3 Days of the Condor) (1975)
2246,241,0.408,5.0,2.0401,Tequila Sunrise (1988)
2103,241,0.408,5.0,2.0401,Star Wars: Episode I - The Phantom Menace (1999)
2667,241,0.408,5.0,2.0401,Splendor in the Grass (1961)
2725,241,0.408,5.0,2.0401,Thelma & Louise (1991)
2081,241,0.408,5.0,2.0401,Pushing Tin (1999)
2093,241,0.408,5.0,2.0401,Dick Tracy (1990)
2287,241,0.408,5.0,2.0401,Yellow Submarine (1968)
745,241,0.408,5.0,2.0401,2001: A Space Odyssey (1968)
721,241,0.408,5.0,2.0401,American in Paris, An (1951)
1008,241,0.408,5.0,2.0401,Treasure of the Sierra Madre, The (1948)
746,241,0.408,5.0,2.0401,All About Eve (1950)
317,241,0.408,5.0,2.0401,Crooklyn (1994)
337,241,0.408,5.0,2.0401,Red Rock West (1992)
372,241,0.408,5.0,2.0401,Blink (1994)
485,241,0.408,5.0,2.0401,Blade Runner (1982)
524,241,0.408,5.0,2.0401,Batman (1989)
879,241,0.408,5.0,2.0401,Dirty Dancing (1987)
1036,241,0.408,5.0,2.0401,Fantasia (1940)
1194,241,0.408,5.0,2.0401,Saint, The (1997)
1234,241,0.408,5.0,2.0401,Lost World: Jurassic Park, The (1997)
1100,241,0.408,5.0,2.0401,Star Trek: First Contact (1996)
2468,241,0.408,5.0,2.0401,Stand and Deliver (1988)
966,241,0.408,5.0,2.0401,Star Wars: Episode VI - Return of the Jedi (1983)
2438,241,0.408,5.0,2.0401,Mister Roberts (1955)
1636,241,0.408,5.0,2.0401,Blue Velvet (1986)
2414,241,0.408,5.0,2.0401,Bone Collector, The (1999)
1364,241,0.408,5.0,2.0401,Jackie Brown (1997)
20,241,0.408,5.0,2.0401,Get Shorty (1995)
48,241,0.408,5.0,2.0401,Usual Suspects, The (1995)
1915,241,0.408,5.0,2.0401,Jewel of the Nile, The (1985)
1917,241,0.408,5.0,2.0401,Cocoon (1985)
1930,241,0.408,5.0,2.0401,Karate Kid, The (1984)
1980,241,0.408,5.0,2.0401,Color of Money, The (1986)
2003,241,0.408,5.0,2.0401,October Sky (1999)
2487,241,0.408,5.0,2.0401,Grapes of Wrath, The (1940)
1359,241,0.408,5.0,2.0401,Titanic (1997)
2061,241,0.408,5.0,2.0401,Walk on the Moon, A (1999)
1375,241,0.408,5.0,2.0401,Dark City (1998)
1429,241,0.408,5.0,2.0401,Zero Effect (1998)
1501,241,0.408,5.0,2.0401,Best Years of Our Lives, The (1946)
1504,241,0.408,5.0,2.0401,All the King's Men (1949)
1629,241,0.408,5.0,2.0401,Trip to Bountiful, The (1985)
1521,241,0.408,5.0,2.0401,Out of Africa (1985)
1524,241,0.408,5.0,2.0401,Driving Miss Daisy (1989)
2062,241,0.408,5.0,2.0401,Matrix, The (1999)
2341,241,0.408,5.0,2.0401,Year of Living Dangerously, The (1982)
2541,241,0.408,5.0,2.0401,Magnolia (1999)
983,241,0.408,5.0,2.0401,Once Upon a Time in America (1984)
858,305,0.4054,5.0,2.0268,Swingers (1996)
2421,305,0.4054,5.0,2.0268,Coma (1978)
737,305,0.4054,5.0,2.0268,Roman Holiday (1953)
1040,305,0.4054,5.0,2.0268,Somewhere in Time (1980)
2815,305,0.4054,5.0,2.0268,Arthur (1981)
203,305,0.4054,5.0,2.0268,Dumb & Dumber (Dumb and Dumber) (1994)
769,451,0.4346,4.5,1.9556,East of Eden (1955)
752,451,0.4346,4.5,1.9556,Affair to Remember, An (1957)
5062,451,0.4346,4.5,1.9556,To Have and Have Not (1944)
5538,451,0.4346,4.5,1.9556,Garden State (2004)
5206,451,0.4346,4.5,1.9556,China Syndrome, The (1979)
1155,451,0.4346,4.5,1.9556,Hearts and Minds (1996)
2923,451,0.4346,4.5,1.9556,Romeo and Juliet (1968)
3575,451,0.4346,4.5,1.9556,Running on Empty (1988)
3210,451,0.4346,4.5,1.9556,Born on the Fourth of July (1989)
4055,451,0.4346,4.5,1.9556,My Big Fat Greek Wedding (2002)
3358,451,0.4346,4.5,1.9556,4 Little Girls (1997)
2770,451,0.4346,4.5,1.9556,Inherit the Wind (1960)
5335,451,0.4346,4.5,1.9556,Au revoir les enfants (1987)
4297,451,0.4346,4.5,1.9556,Gallipoli (1981)
5357,451,0.4346,4.5,1.9556,Anne of the Thousand Days (1969)
2880,451,0.4346,4.5,1.9556,Regret to Inform (1998)
4318,451,0.4346,4.5,1.9556,Russians Are Coming, the Russians Are Coming, The (1966)
6008,451,0.4346,4.5,1.9556,Testament (1983)
5017,451,0.4346,4.5,1.9556,Cooler, The (2003)
6241,451,0.4346,4.5,1.9556,Capote (2005)
2551,451,0.4346,4.5,1.9556,Man on the Moon (1999)
4358,451,0.4346,4.5,1.9556,Quiet American, The (2002)
4019,451,0.4346,4.5,1.9556,Return of the Secaucus 7 (1980)
975,451,0.4346,4.5,1.9556,Psycho (1960)
6257,451,0.4346,4.5,1.9556,Brokeback Mountain (2005)
4194,451,0.4346,4.5,1.9556,Time After Time (1979)
2546,451,0.4346,4.5,1.9556,Carnal Knowledge (1971)
4104,451,0.4346,4.5,1.9556,Believer, The (2001)
980,357,0.3754,5.0,1.877,Henry V (1989)
1035,357,0.3754,5.0,1.877,Great Dictator, The (1940)
968,357,0.3754,5.0,1.877,Third Man, The (1949)
915,357,0.3754,5.0,1.877,When We Were Kings (1996)
1496,357,0.3754,5.0,1.877,You Can't Take It with You (1938)
1500,357,0.3754,5.0,1.877,Lost Weekend, The (1945)
1502,357,0.3754,5.0,1.877,Gentleman's Agreement (1947)
1641,357,0.3754,5.0,1.877,Little Mermaid, The (1989)
521,357,0.3754,5.0,1.877,Aladdin (1992)
2764,357,0.3754,5.0,1.877,Modern Times (1936)
218,357,0.3754,5.0,1.877,Hoop Dreams (1994)
774,357,0.3754,5.0,1.877,Mr. Smith Goes to Washington (1939)
771,357,0.3754,5.0,1.877,His Girl Friday (1940)
743,357,0.3754,5.0,1.877,Sunset Blvd. (a.k.a. Sunset Boulevard) (1950)
726,357,0.3754,5.0,1.877,It Happened One Night (1934)
2651,357,0.3754,5.0,1.877,City Lights (1931)
105,357,0.3754,5.0,1.877,Anne Frank Remembered (1995)
54,357,0.3754,5.0,1.877,Postman, The (Postino, Il) (1994)
827,357,0.3754,5.0,1.877,Winnie the Pooh and the Blustery Day (1968)
1114,462,0.3693,5.0,1.8465,Star Trek II: The Wrath of Khan (1982)
3871,462,0.3693,5.0,1.8465,Lord of the Rings: The Fellowship of the Ring, The (2001)
4266,462,0.3693,5.0,1.8465,Ring, The (2002)
3152,118,0.3625,5.0,1.8123,Bamboozled (2000)
1146,118,0.3625,5.0,1.8123,Hamlet (1996)
3140,118,0.3625,5.0,1.8123,Bank Dick, The (1940)
876,118,0.3625,5.0,1.8123,Old Man and the Sea, The (1958)
916,118,0.3625,5.0,1.8123,Wallace & Gromit: The Wrong Trousers (1993)
25,118,0.3625,5.0,1.8123,Othello (1995)
1493,118,0.3625,5.0,1.8123,Mutiny on the Bounty (1935)
1416,118,0.3625,5.0,1.8123,Homegrown (1998)
2131,118,0.3625,5.0,1.8123,Thing from Another World, The (1951)
622,118,0.3625,5.0,1.8123,Wallace & Gromit: A Close Shave (1995)
1245,118,0.3625,5.0,1.8123,For Roseanna (Roseanna's Grave) (1997)
1822,118,0.3625,5.0,1.8123,Nashville (1975)
979,118,0.3625,5.0,1.8123,Grand Day Out with Wallace and Gromit, A (1989)
2735,118,0.3625,5.0,1.8123,Creature Comforts (1989)
956,118,0.3625,5.0,1.8123,Brazil (1985)
997,118,0.3625,5.0,1.8123,Rosencrantz and Guildenstern Are Dead (1990)
4166,460,0.361,5.0,1.8052,Top Secret! (1984)
5026,460,0.361,5.0,1.8052,Lord of the Rings: The Return of the King, The (2003)
2374,460,0.361,5.0,1.8052,Fight Club (1999)
2183,101,0.3512,5.0,1.7559,Killing, The (1956)
973,101,0.3512,5.0,1.7559,Ran (1985)
974,101,0.3512,5.0,1.7559,Killer, The (Die xue shuang xiong) (1989)
1628,101,0.3512,5.0,1.7559,Fanny and Alexander (Fanny och Alexander) (1982)
2836,101,0.3512,5.0,1.7559,The Hunger (1983)
2802,101,0.3512,5.0,1.7559,Outlaw Josey Wales, The (1976)
2382,101,0.3512,5.0,1.7559,Fitzcarraldo (1982)
1737,101,0.3512,5.0,1.7559,Strangers on a Train (1951)
1966,101,0.3512,5.0,1.7559,Texas Chainsaw Massacre, The (1974)
2370,101,0.3512,5.0,1.7559,Fistful of Dollars, A (Per un pugno di dollari) (1964)
2342,101,0.3512,5.0,1.7559,Children of Paradise (Les enfants du paradis) (1945)
1153,101,0.3512,5.0,1.7559,Message to Love: The Isle of Wight Festival (1996)
2485,101,0.3512,5.0,1.7559,McCabe & Mrs. Miller (1971)
2347,101,0.3512,5.0,1.7559,Conformist, The (Conformista, Il) (1970)
2186,101,0.3512,5.0,1.7559,Lolita (1962)
1005,101,0.3512,5.0,1.7559,8 1/2 (8½) (1963)
1312,101,0.3512,5.0,1.7559,House of Yes, The (1997)
2428,101,0.3512,5.0,1.7559,General, The (1926)
1002,101,0.3512,5.0,1.7559,Touch of Evil (1958)
965,101,0.3512,5.0,1.7559,Once Upon a Time in the West (C'era una volta il West) (1968)
2878,101,0.3512,5.0,1.7559,On the Town (1949)
937,101,0.3512,5.0,1.7559,Paths of Glory (1957)
1862,101,0.3512,5.0,1.7559,Nights of Cabiria (Notti di Cabiria, Le) (1957)
967,101,0.3512,5.0,1.7559,Wings of Desire (Himmel über Berlin, Der) (1987)
2520,101,0.3512,5.0,1.7559,Grand Illusion (La grande illusion) (1937)
2416,101,0.3512,5.0,1.7559,American Movie (1999)
2353,101,0.3512,5.0,1.7559,Days of Heaven (1978)
141,101,0.3512,5.0,1.7559,Crumb (1994)
3797,508,0.3509,5.0,1.7545,Waking Life (2001)
395,508,0.3509,5.0,1.7545,Farewell My Concubine (Ba wang bie ji) (1993)
1012,451,0.4346,4.0,1.7383,Shining, The (1980)
2860,451,0.4346,4.0,1.7383,Gladiator (2000)
2473,451,0.4346,4.0,1.7383,42 Up (1998)
984,451,0.4346,4.0,1.7383,Raging Bull (1980)
3873,451,0.4346,4.0,1.7383,Beautiful Mind, A (2001)
3454,451,0.4346,4.0,1.7383,Seven Year Itch, The (1955)
2415,451,0.4346,4.0,1.7383,Insider, The (1999)
960,451,0.4346,4.0,1.7383,12 Angry Men (1957)
996,451,0.4346,4.0,1.7383,Glory (1989)
232,451,0.4346,4.0,1.7383,Star Wars: Episode IV - A New Hope (1977)
994,451,0.4346,4.0,1.7383,Terminator, The (1984)
3456,451,0.4346,4.0,1.7383,Tootsie (1982)
2419,451,0.4346,4.0,1.7383,They Shoot Horses, Don't They? (1969)
2440,451,0.4346,4.0,1.7383,Little Big Man (1970)
4655,451,0.4346,4.0,1.7383,Unforgiven, The (1960)
258,451,0.4346,4.0,1.7383,Natural Born Killers (1994)
5645,451,0.4346,4.0,1.7383,Bush's Brain (2004)
4644,451,0.4346,4.0,1.7383,Barton Fink (1991)
4308,451,0.4346,4.0,1.7383,Professional, The (Le professionnel) (1981)
986,451,0.4346,4.0,1.7383,Right Stuff, The (1983)
985,451,0.4346,4.0,1.7383,Annie Hall (1977)
5639,451,0.4346,4.0,1.7383,Closer (2004)
2437,451,0.4346,4.0,1.7383,Robin Hood (1973)
981,451,0.4346,4.0,1.7383,Amadeus (1984)
4649,451,0.4346,4.0,1.7383,From the Terrace (1960)
1640,451,0.4346,4.0,1.7383,Lady and the Tramp (1955)
251,451,0.4346,4.0,1.7383,My Family (1995)
969,451,0.4346,4.0,1.7383,Goodfellas (1990)
1014,451,0.4346,4.0,1.7383,M (1931)
5172,451,0.4346,4.0,1.7383,Three Faces of Eve, The (1957)
1630,451,0.4346,4.0,1.7383,Tender Mercies (1983)
2481,451,0.4346,4.0,1.7383,Harvey (1950)
1010,451,0.4346,4.0,1.7383,Duck Soup (1933)
5625,451,0.4346,4.0,1.7383,Ray (2004)
4494,451,0.4346,4.0,1.7383,Black Stallion, The (1979)
961,451,0.4346,4.0,1.7383,Lawrence of Arabia (1962)
2639,451,0.4346,4.0,1.7383,Not One Less (Yi ge dou bu neng shao) (1999)
1346,451,0.4346,4.0,1.7383,Apostle, The (1997)
2646,451,0.4346,4.0,1.7383,Whole Nine Yards, The (2000)
202,451,0.4346,4.0,1.7383,Dolores Claiborne (1995)
5346,451,0.4346,4.0,1.7383,Charly (1968)
1358,451,0.4346,4.0,1.7383,Sweet Hereafter, The (1997)
1362,451,0.4346,4.0,1.7383,Horse Whisperer, The (1998)
4432,451,0.4346,4.0,1.7383,City of God (Cidade de Deus) (2002)
2466,451,0.4346,4.0,1.7383,Effect of Gamma Rays on Man-in-the-Moon Marigolds, The (1972)
3604,451,0.4346,4.0,1.7383,Casualties of War (1989)
1410,451,0.4346,4.0,1.7383,Primary Colors (1998)
2755,451,0.4346,4.0,1.7383,Guess Who's Coming to Dinner (1967)
2628,451,0.4346,4.0,1.7383,Bad Lieutenant (1992)
3737,451,0.4346,4.0,1.7383,Into the Arms of Strangers: Stories of the Kindertransport (2000)
5480,451,0.4346,4.0,1.7383,Fahrenheit 9/11 (2004)
2740,451,0.4346,4.0,1.7383,Double Indemnity (1944)
1235,451,0.4346,4.0,1.7383,Ponette (1996)
3644,451,0.4346,4.0,1.7383,Ghost World (2001)
4359,451,0.4346,4.0,1.7383,Talk to Her (Hable con Ella) (2002)
1556,451,0.4346,4.0,1.7383,Poltergeist (1982)
4317,451,0.4346,4.0,1.7383,Exodus (1960)
964,451,0.4346,4.0,1.7383,Apocalypse Now (1979)
999,451,0.4346,4.0,1.7383,Miller's Crossing (1990)
2460,451,0.4346,4.0,1.7383,Longest Day, The (1962)
1055,451,0.4346,4.0,1.7383,Field of Dreams (1989)
2901,451,0.4346,4.0,1.7383,Seven Days in May (1964)
268,451,0.4346,4.0,1.7383,Quiz Show (1994)
1004,451,0.4346,4.0,1.7383,Bridge on the River Kwai, The (1957)
1006,451,0.4346,4.0,1.7383,Chinatown (1974)
2465,451,0.4346,4.0,1.7383,Verdict, The (1982)
4627,451,0.4346,4.0,1.7383,Electric Horseman, The (1979)
4323,451,0.4346,4.0,1.7383,Far from Heaven (2002)
208,451,0.4346,4.0,1.7383,French Kiss (1995)
2303,451,0.4346,4.0,1.7383,Sommersby (1993)
2500,451,0.4346,4.0,1.7383,Fisher King, The (1991)
3359,451,0.4346,4.0,1.7383,River's Edge (1986)
2990,451,0.4346,4.0,1.7383,Sugarland Express, The (1974)
881,451,0.4346,4.0,1.7383,Platoon (1986)
2993,451,0.4346,4.0,1.7383,Badlands (1973)
840,451,0.4346,4.0,1.7383,Die Hard (1988)
3183,451,0.4346,4.0,1.7383,Legend of Bagger Vance, The (2000)
875,451,0.4346,4.0,1.7383,Bonnie and Clyde (1967)
341,451,0.4346,4.0,1.7383,Speed (1994)
843,451,0.4346,4.0,1.7383,Secrets & Lies (1996)
873,451,0.4346,4.0,1.7383,Candidate, The (1972)
2300,451,0.4346,4.0,1.7383,Deliverance (1972)
5987,451,0.4346,4.0,1.7383,Hotel Rwanda (2004)
522,451,0.4346,4.0,1.7383,Terminator 2: Judgment Day (1991)
1459,451,0.4346,4.0,1.7383,Hope Floats (1998)
2497,451,0.4346,4.0,1.7383,Awakenings (1990)
868,451,0.4346,4.0,1.7383,Sleeper (1973)
350,451,0.4346,4.0,1.7383,Boys Life (1995)
1030,451,0.4346,4.0,1.7383,Cool Hand Luke (1967)
2987,451,0.4346,4.0,1.7383,Serpico (1973)
661,451,0.4346,4.0,1.7383,Time to Kill, A (1996)
869,451,0.4346,4.0,1.7383,Bananas (1971)
523,451,0.4346,4.0,1.7383,Dances with Wolves (1990)
3395,451,0.4346,4.0,1.7383,Under the Sand (2000)
2295,451,0.4346,4.0,1.7383,Buddy Holly Story, The (1978)
3388,451,0.4346,4.0,1.7383,Days of Wine and Roses (1962)
3364,451,0.4346,4.0,1.7383,Enemy at the Gates (2001)
613,451,0.4346,4.0,1.7383,Cold Comfort Farm (1995)
5728,451,0.4346,4.0,1.7383,Music Man, The (1962)
2985,451,0.4346,4.0,1.7383,Paper Chase, The (1973)
4246,451,0.4346,4.0,1.7383,Onion Field, The (1979)
3928,451,0.4346,4.0,1.7383,Son's Room, The (Stanza del figlio, La) (2001)
1744,451,0.4346,4.0,1.7383,Untouchables, The (1987)
2982,451,0.4346,4.0,1.7383,Conversation, The (1974)
2912,451,0.4346,4.0,1.7383,Blow-Out (La grande bouffe) (1973)
953,451,0.4346,4.0,1.7383,Star Wars: Episode V - The Empire Strikes Back (1980)
955,451,0.4346,4.0,1.7383,Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)
2925,451,0.4346,4.0,1.7383,Blazing Saddles (1974)
1590,451,0.4346,4.0,1.7383,Saving Private Ryan (1998)
172,451,0.4346,4.0,1.7383,Something to Talk About (1995)
2378,451,0.4346,4.0,1.7383,Straight Story, The (1999)
3465,451,0.4346,4.0,1.7383,Sexy Beast (2000)
1047,451,0.4346,4.0,1.7383,Gandhi (1982)
1045,451,0.4346,4.0,1.7383,Indiana Jones and the Last Crusade (1989)
2837,451,0.4346,4.0,1.7383,Marathon Man (1976)
1624,451,0.4346,4.0,1.7383,Roger & Me (1989)
1042,451,0.4346,4.0,1.7383,This Is Spinal Tap (1984)
1037,451,0.4346,4.0,1.7383,High Noon (1952)
2503,451,0.4346,4.0,1.7383,Places in the Heart (1984)
2841,451,0.4346,4.0,1.7383,U-571 (2000)
201,451,0.4346,4.0,1.7383,Death and the Maiden (1994)
1032,451,0.4346,4.0,1.7383,Young Frankenstein (1974)
2521,451,0.4346,4.0,1.7383,Great Santini, The (1979)
6296,451,0.4346,4.0,1.7383,Walk the Line (2005)
1052,451,0.4346,4.0,1.7383,Killing Fields, The (1984)
4589,451,0.4346,4.0,1.7383,Owning Mahowny (2003)
3435,451,0.4346,4.0,1.7383,Yi Yi (2000)
5182,451,0.4346,4.0,1.7383,Wit (2001)
1024,451,0.4346,4.0,1.7383,Back to the Future (1985)
1019,451,0.4346,4.0,1.7383,Groundhog Day (1993)
3461,451,0.4346,4.0,1.7383,A.I. Artificial Intelligence (2001)
1023,451,0.4346,4.0,1.7383,Arsenic and Old Lace (1944)
1026,451,0.4346,4.0,1.7383,Patton (1970)
4610,451,0.4346,4.0,1.7383,Finding Nemo (2003)
2082,451,0.4346,4.0,1.7383,Election (1999)
2493,451,0.4346,4.0,1.7383,Fatal Attraction (1987)
195,451,0.4346,4.0,1.7383,Circle of Friends (1995)
3849,451,0.4346,4.0,1.7383,Business of Strangers, The (2001)
2496,451,0.4346,4.0,1.7383,Midnight Run (1988)
4422,451,0.4346,4.0,1.7383,Pianist, The (2002)
1001,451,0.4346,4.0,1.7383,Graduate, The (1967)
2616,451,0.4346,4.0,1.7383,Howards End (1992)
1773,451,0.4346,4.0,1.7383,Working Girl (1988)
3218,451,0.4346,4.0,1.7383,Pollock (2000)
475,451,0.4346,4.0,1.7383,Secret Garden, The (1993)
4168,451,0.4346,4.0,1.7383,Signs (2002)
3232,451,0.4346,4.0,1.7383,Thirteen Days (2000)
478,451,0.4346,4.0,1.7383,Shadowlands (1993)
1951,451,0.4346,4.0,1.7383,Hilary and Jackie (1998)
3229,451,0.4346,4.0,1.7383,State and Main (2000)
4811,451,0.4346,4.0,1.7383,Avalon (2001)
3228,451,0.4346,4.0,1.7383,O Brother, Where Art Thou? (2000)
483,451,0.4346,4.0,1.7383,Sleepless in Seattle (1993)
4049,451,0.4346,4.0,1.7383,Slap Shot (1977)
3223,451,0.4346,4.0,1.7383,Cast Away (2000)
656,451,0.4346,4.0,1.7383,Lone Star (1996)
2195,451,0.4346,4.0,1.7383,Color Purple, The (1985)
1975,451,0.4346,4.0,1.7383,Peggy Sue Got Married (1986)
3254,451,0.4346,4.0,1.7383,Mystic Pizza (1988)
1869,451,0.4346,4.0,1.7383,Waking Ned Devine (a.k.a. Waking Ned) (1998)
4008,451,0.4346,4.0,1.7383,And Your Mother Too (Y tu mamá también) (2001)
736,451,0.4346,4.0,1.7383,Sabrina (1954)
503,451,0.4346,4.0,1.7383,Welcome to the Dollhouse (1995)
731,451,0.4346,4.0,1.7383,Some Like It Hot (1959)
729,451,0.4346,4.0,1.7383,North by Northwest (1959)
2182,451,0.4346,4.0,1.7383,Twin Falls Idaho (1999)
725,451,0.4346,4.0,1.7383,Rear Window (1954)
724,451,0.4346,4.0,1.7383,Vertigo (1958)
447,451,0.4346,4.0,1.7383,Mrs. Doubtfire (1993)
719,451,0.4346,4.0,1.7383,Philadelphia Story, The (1940)
3233,451,0.4346,4.0,1.7383,Traffic (2000)
472,451,0.4346,4.0,1.7383,Schindler's List (1993)
2146,451,0.4346,4.0,1.7383,Limbo (1999)
2235,451,0.4346,4.0,1.7383,Airplane! (1980)
816,451,0.4346,4.0,1.7383,Old Yeller (1957)
3340,451,0.4346,4.0,1.7383,Alfie (1966)
520,451,0.4346,4.0,1.7383,Ghost (1990)
3023,451,0.4346,4.0,1.7383,Croupier (1998)
3960,451,0.4346,4.0,1.7383,Sleuth (1972)
3336,451,0.4346,4.0,1.7383,Lilies of the Field (1963)
389,451,0.4346,4.0,1.7383,Dave (1993)
2241,451,0.4346,4.0,1.7383,Big (1988)
3028,451,0.4346,4.0,1.7383,Blow-Up (Blowup) (1966)
3325,451,0.4346,4.0,1.7383,Avalon (1990)
3029,451,0.4346,4.0,1.7383,Pawnbroker, The (1964)
4842,451,0.4346,4.0,1.7383,In Cold Blood (1967)
3187,451,0.4346,4.0,1.7383,You Can Count on Me (2000)
1460,451,0.4346,4.0,1.7383,Insomnia (1997)
